DIRECCION_SALUD,RED_SALUD,MICRO_RED,DESC_ESTAB,year,Incluidos,Curado,Tratamiento completo,Fracaso,Fallecido,Abandono,No evaluado,Excluido,p_abandono
CALLAO,BONILLA,SANTA FE,C.S. SANTA FE,2009,2,1,,,1,,,,0.0
CALLAO,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,C.S. MATERNO INFANTIL PERU-COREA,2009,2,1,,,,,1,,0.0
CALLAO,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,CENTRO MEDICO NAVAL,2009,3,2,,,,,1,,0.0
CALLAO,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,CLINICA PENAL SARITA COLONIA,2009,3,,,,1,,2,,0.0
CALLAO,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,HOSP. APOYO SAN JOSE,2009,2,2,,,,,,,0.0
CALLAO,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,HOSP. CENTRAL NAVAL,2009,3,2,,,,,1,,0.0
CALLAO,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,HOSP. NAC. DANIEL A. CARRION,2009,3,3,,,,,,,0.0
CALLAO,VENTANILLA,3 DE FEBRERO,C.S. 03 DE FEBRERO,2009,3,1,,,,1,1,,33.3
CALLAO,VENTANILLA,4 DE FEBRERO,C.S. CIUDAD PACHACUTEC,2009,2,1,,1,,,,,0.0
CALLAO,VENTANILLA,ANGAMOS,C.S. ANGAMOS,2009,1,,,,,1,,,100.0
CALLAO,VENTANILLA,ANGAMOS,C.S. HIJOS DEL ALMIRANTE GRAU,2009,4,1,1,,,2,,,50.0
CALLAO,VENTANILLA,FORJANDO SALUD,C.S. LUIS FELIPE DE LAS CASAS,2009,4,,1,1,,2,,,50.0
CALLAO,VENTANILLA,FORJANDO SALUD,C.S. SANTA ROSA DE PACHACUTEC,2009,1,,,,1,,,,0.0
CALLAO,VENTANILLA,MARQUEZ,C.S. BASE MARQUEZ,2009,1,,,,,,1,,0.0
CALLAO,VENTANILLA,MARQUEZ,C.S. VENTANILLA BAJA,2009,1,,,,,1,,,100.0
CALLAO,VENTANILLA,VENTANILLA,C.S. BASE VENTANILLA (HOSP. VENTANILLA),2009,2,,,,1,1,,,50.0
CALLAO,VENTANILLA,VENTANILLA,C.S. MI PERU,2009,6,3,,,2,,1,,0.0
CUSCO,CANAS-CANCHIS-ESPINAR,TECHO OBRERO,HOSP. SICUANI,2009,1,1,,,,,,,0.0
CUSCO,CUSCO NORTE,BELEMPAMPA,C.S. BELEMPAMPA,2009,1,1,,,,,,,0.0
CUSCO,CUSCO SUR,SANTO TOMAS,P.S. LLUSCO,2009,1,1,,,,,,,0.0
CUSCO,CUSCO SUR,URCOS,C.S. URCOS,2009,1,1,,,,,,,0.0
HUANUCO,LEONCIO PRADO,ESTABLECIMIENTO QUE NO PERTENECEN A NING,HOSP. DE TINGO MARIA,2009,1,,,,,,1,,0.0
ICA,CHINCHA - PISCO,CHINCHA,HOSP. SAN JOSE DE CHINCHA,2009,5,2,2,,,1,,,20.0
ICA,CHINCHA - PISCO,PISCO,HOSP. SAN JUAN DE DIOS,2009,3,2,,,,1,,,33.3
ICA,CHINCHA - PISCO,PISCO,P.S. SAN MARTIN DE PORRAS,2009,2,2,,,,,,,0.0
ICA,CHINCHA - PISCO,PUEBLO NUEVO,P.S. SAN ISIDRO,2009,1,1,,,,,,,0.0
ICA,CHINCHA - PISCO,PUEBLO NUEVO,P.S. VISTA ALEGRE,2009,1,1,,,,,,,0.0
ICA,CHINCHA - PISCO,SAN CLEMENTE,C.S. INDEPENDENCIA,2009,1,,,,1,,,,0.0
ICA,ICA-PALPA-NAZCA,ICA(SOCORRO),C.S. ACOMAYO,2009,1,,,,1,,,,0.0
ICA,ICA-PALPA-NAZCA,ICA(SOCORRO),HOSP. STA.MARIA DEL SOCORRO,2009,1,1,,,,,,1,0.0
ICA,ICA-PALPA-NAZCA,ICA(SOCORRO),P.S. JE.TINGUIOA VALLE,2009,1,1,,,,,,,0.0
ICA,ICA-PALPA-NAZCA,ICA(SOCORRO),P.S. SAN MARTIN DE PORRAS,2009,1,1,,,,,,,0.0
ICA,ICA-PALPA-NAZCA,LA TINGUIÑA/PARCONA,C.S. LA TINGUIÑA,2009,3,2,,,,1,,,33.3
ICA,ICA-PALPA-NAZCA,LA TINGUIÑA/PARCONA,C.S. PARCONA,2009,5,2,,,2,1,,,20.0
ICA,ICA-PALPA-NAZCA,LA TINGUIÑA/PARCONA,P.S. YAURILLA,2009,1,,,1,,,,,0.0
ICA,ICA-PALPA-NAZCA,PUEBLO NUEVO,P.S. LUJARAJA,2009,1,1,,,,,,,0.0
ICA,ICA-PALPA-NAZCA,SAN JOAQUIN,C.S. SAN JOAQUIN,2009,2,1,,,,1,,,50.0
ICA,ICA-PALPA-NAZCA,SAN JOAQUIN,C.S. SUBTANJALLA,2009,1,,,,,1,,,100.0
ICA,ICA-PALPA-NAZCA,SAN JOAQUIN,P.S. SENOR DE LUREN,2009,2,1,,,1,,,,0.0
ICA,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,CLINICA PENAL DE CACHICHE,2009,1,,,,,1,,,100.0
JUNIN,CHANCHAMAYO,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,HOSP. DE APOYO LA  MERCED,2009,5,2,,1,,2,,,40.0
JUNIN,CHANCHAMAYO,PICHANAKI,C.S. PICHANAKI,2009,1,1,,,,,,,0.0
JUNIN,CHANCHAMAYO,SAN RAMON,C.S. SAN RAMON,2009,1,,1,,,,,,0.0
JUNIN,JAUJA,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,HOSP. DE APOYO DOMINGO OLAVEGOYA,2009,2,2,,,,,,,0.0
JUNIN,JAUJA,HATUN XAUXA,P.S. HUAMALI,2009,1,1,,,,,,,0.0
JUNIN,VALLE DEL MANTARO,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,HOSP. DE APOYO DANIEL ALCIDES CARRION,2009,3,2,,,1,,,,0.0
LA LIBERTAD,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,HOSP. REGIONAL DOCENTE DE TRUJILLO,2009,1,,,,,,1,,0.0
LA LIBERTAD,RED ASCOPE,CHICAMA,C.S. CHICAMA,2009,1,1,,,,,,,0.0
LA LIBERTAD,RED ASCOPE,CHICAMA,P.S. SANTA ROSA DE CARTAVIO,2009,1,1,,,,,,,0.0
LA LIBERTAD,RED ASCOPE,PAIJAN,C.S. PAIJAN,2009,1,,,,,,1,,0.0
LA LIBERTAD,RED TRUJILLO,FLORENCIA DE MORA,C.S. EL ESFUERZO,2009,1,,1,,,,,,0.0
LA LIBERTAD,RED TRUJILLO,LA ESPERANZA,C.S. JERUSALEN,2009,0,,,,,,,1,#DIV/0!
LA LIBERTAD,RED TRUJILLO,LA ESPERANZA,C.S. WICHANZAO,2009,2,,,,1,1,,,50.0
LA LIBERTAD,RED TRUJILLO,LAREDO,C.S. LAREDO,2009,5,2,,,,2,1,1,40.0
LA LIBERTAD,RED TRUJILLO,PORVENIR,P.S. ALTO  TRUJILLO,2009,1,,,,,1,,,100.0
LA LIBERTAD,RED TRUJILLO,PORVENIR,P.S. INDOAMERICA,2009,1,1,,,,,,,0.0
LA LIBERTAD,RED TRUJILLO,TRUJILLO - METROPOLITANO,C.S. LA  NORIA,2009,2,2,,,,,,,0.0
LA LIBERTAD,RED TRUJILLO,TRUJILLO - METROPOLITANO,C.S. LOS JARDINES,2009,1,,,,,1,,,100.0
LA LIBERTAD,RED TRUJILLO,TRUJILLO - METROPOLITANO,C.S. SAN MARTIN PORRES,2009,2,2,,,,,,,0.0
LA LIBERTAD,RED TRUJILLO,VICTOR LARCO,P.S. LIBERACION  SOCIAL,2009,2,,,,,1,1,,50.0
LAMBAYEQUE,CHICLAYO,CHICLAYO,C.S. JOSE OLAYA,2009,2,2,,,,,,,0.0
LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,P.S. CULPON,2009,1,1,,,,,,,0.0
LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,P.S. VILLA HERMOSA,2009,1,,,,,,1,,0.0
LAMBAYEQUE,CHICLAYO,LA VICTORIA,C.S. LA VICTORIA SECTOR I,2009,1,,,,,,1,,0.0
LAMBAYEQUE,CHICLAYO,SAN ANTONIO,C.S. SAN ANTONIO,2009,2,1,,,,1,,,50.0
