DIRECCION_SALUD,RED_SALUD,MICRO_RED,DESC_ESTAB,year,Incluidos,Curado,Tratamiento completo,Fracaso,Fallecido,Abandono,No evaluado,Excluido,p_abandono
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED : LOS OLIVOS,C.S. VILLA DEL NORTE,2009,1,1,,,,,,,0.0
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED : LOS OLIVOS,P.S. ENRIQUE MILLA OCHOA,2009,4,1,,2,1,,,,0.0
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED : LOS OLIVOS,P.S. LAURA CALLER,2009,5,3,,1,1,,,,0.0
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED : LOS OLIVOS,P.S. RIO SANTA,2009,1,,,1,,,,,0.0
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED: SMP,C.S. LOS LIBERTADORES,2009,3,2,1,,,,,,0.0
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED: SMP,C.S. MEXICO,2009,1,1,,,,,,,0.0
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED: SMP,C.S. PERU 3RA ZONA,2009,3,2,,,,1,,,33.3
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED: SMP,C.S. PERU 4TA ZONA,2009,6,3,,,2,1,,,16.7
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED: SMP,C.S. SAN JUAN DE SALINAS,2009,7,4,,,2,1,,,14.3
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED: SMP,C.S. SAN MARTIN DE PORRES,2009,5,2,,1,,2,,,40.0
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED: SMP,C.S. VALDIVIESO,2009,5,3,,2,,,,,0.0
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED: SMP,P.S. AMAKELLA,2009,4,1,,,2,1,,,25.0
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED: SMP,P.S. CERRO CANDELA,2009,1,1,,,,,,,0.0
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED: SMP,P.S. CERRO LA REGLA,2009,3,,,,1,2,,,66.7
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED: SMP,P.S. CONDEVILLA,2009,2,1,,,,1,,,50.0
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED: SMP,P.S. EX FUNDO NARANJAL,2009,1,,,1,,,,,0.0
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED: SMP,P.S. GUSTAVO LANATTA,2009,2,,,,1,1,,,50.0
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED: SMP,P.S. MESA REDONDA,2009,1,1,,,,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,ATE I,C.S. EL EXITO,2009,6,1,1,2,,2,,,33.3
LIMA ESTE,LIMA ESTE METROPOLITANA,ATE I,C.S. MANYLSA,2009,1,,,1,,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,ATE I,C.S. SANTA CLARA,2009,3,1,1,,,1,,,33.3
LIMA ESTE,LIMA ESTE METROPOLITANA,ATE I,P.S. LA FRATERNIDAD,2009,2,1,,1,,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,ATE I,P.S. SAN ANTONIO,2009,2,,1,1,,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,ATE I,P.S. SEÑOR DE LOS MILAGROS,2009,2,2,,,,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,ATE II,C.S. FORTALEZA,2009,1,,,1,,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,ATE II,C.S. MICAELA BASTIDAS,2009,8,5,,1,,2,,,25.0
LIMA ESTE,LIMA ESTE METROPOLITANA,ATE II,P.S. TUPAC AMARU,2009,1,1,,,,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,ATE III,C.S. 7 DE OCTUBRE,2009,4,3,,,1,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,ATE III,C.S. GUSTAVO LANATTA,2009,6,3,1,1,,1,,,16.7
LIMA ESTE,LIMA ESTE METROPOLITANA,ATE III,C.S. SALAMANCA,2009,1,1,,,,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,ATE III,C.S. SAN FERNANDO,2009,4,2,,2,,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,ATE III,C.S. SANTA MAGDALENA SOFIA,2009,3,2,,,,1,,,33.3
LIMA ESTE,LIMA ESTE METROPOLITANA,CHACLACAYO,C.S. CHACLACAYO - LOPEZ SILVA,2009,1,,,1,,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,CHACLACAYO,C.S. MORON,2009,1,,1,,,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,CHACLACAYO,P.S. PERLA DEL SOL,2009,1,1,,,,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,CHOSICA I,C.S. CHOSICA,2009,2,1,1,,,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,CHOSICA I,C.S. NICOLAS DE PIEROLA,2009,1,1,,,,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,CHOSICA I,P.S. SEÑOR DE LOS MILAGROS,2009,1,,,,,1,,,100.0
LIMA ESTE,LIMA ESTE METROPOLITANA,CHOSICA II,C.S. JICAMARCA,2009,1,1,,,,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,CHOSICA II,C.S. VILLA LETICIA DE CAJAMARQUILLA,2009,2,2,,,,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,CHOSICA II,C.S. VIRGEN DEL ROSARIO CARAPONGO,2009,1,1,,,,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,EL AGUSTINO,C.S. BETHANIA,2009,4,4,,,,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,EL AGUSTINO,C.S. CATALINA HUANCA,2009,3,1,1,,,1,,,33.3
LIMA ESTE,LIMA ESTE METROPOLITANA,EL AGUSTINO,C.S. EL AGUSTINO,2009,4,2,,,,2,,,50.0
LIMA ESTE,LIMA ESTE METROPOLITANA,EL AGUSTINO,C.S. MADRE TERESA  CALCUTA,2009,8,4,1,2,1,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,EL AGUSTINO,C.S. PRIMAVERA,2009,9,4,,,2,3,,,33.3
LIMA ESTE,LIMA ESTE METROPOLITANA,LA MOLINA CIENEGUILLA,C.S. LA MOLINA,2009,1,1,,,,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,LA MOLINA CIENEGUILLA,C.S. TAMBO VIEJO,2009,1,1,,,,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,LA MOLINA CIENEGUILLA,P.S. MATAZANGO,2009,4,,,1,1,2,,,50.0
LIMA ESTE,LIMA ESTE METROPOLITANA,SANTA ANITA,C.S. CHANCAS DE ANDAHUAYLAS,2009,5,3,,1,,1,,,20.0
LIMA ESTE,LIMA ESTE METROPOLITANA,SANTA ANITA,C.S. HUASCAR,2009,2,2,,,,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,SANTA ANITA,C.S. I COOP. UNIVERSAL,2009,5,1,,2,2,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,SANTA ANITA,C.S. METROPOLITANA,2009,1,1,,,,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,SANTA ANITA,C.S. NOCHETO,2009,7,4,,,,3,,,42.9
LIMA ESTE,LIMA ESTE METROPOLITANA,SANTA ANITA,C.S. SAN CARLOS,2009,4,2,,,,2,,,50.0
LIMA ESTE,LIMA ESTE METROPOLITANA,SANTA ANITA,C.S. SANTA ANITA,2009,2,1,,,1,,,,0.0
LIMA ESTE,LIMA ESTE METROPOLITANA,SANTA ANITA,P.S. VIÑA SAN FRANCISCO,2009,4,3,,,1,,,,0.0
LIMA ESTE,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,C.S. PARROQUIAL SAN BENITO,2009,1,1,,,,,,,0.0
LIMA ESTE,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,CLINICA AURELIO DIAZ UFANO Y PERAL - ESSALUD,2009,1,,,,,,1,,0.0
LIMA ESTE,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,CLINICA PENAL DE LURIGANCHO,2009,37,13,3,5,2,10,4,,27.0
LIMA ESTE,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,HOSP. HUAYCAN,2009,14,10,,4,,,,,0.0
LIMA ESTE,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,HOSP. NACIONAL HIPOLITO UNANUE,2009,1,,,,,,1,,0.0
LIMA ESTE,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,HOSP. SAN JUAN DE LURIGANCHO (EX CS CANTO GR,2009,9,3,,,1,5,,,55.6
LIMA ESTE,SAN JUAN DE LURIGANCHO,CANTO GRANDE (GANIMEDES),C.S. GANIMEDES,2009,2,2,,,,,,,0.0
LIMA ESTE,SAN JUAN DE LURIGANCHO,CANTO GRANDE (GANIMEDES),C.S. HUASCAR II,2009,12,7,,,2,2,1,,16.7
LIMA ESTE,SAN JUAN DE LURIGANCHO,CANTO GRANDE (GANIMEDES),C.S. HUASCAR XV,2009,8,5,,1,,1,1,,12.5
LIMA ESTE,SAN JUAN DE LURIGANCHO,CANTO GRANDE (GANIMEDES),P.S. AYACUCHO,2009,0,,,,,,,1,#DIV/0!
LIMA ESTE,SAN JUAN DE LURIGANCHO,CANTO GRANDE (GANIMEDES),P.S. MEDALLA MILAGROSA,2009,4,3,,,1,,,,0.0
LIMA ESTE,SAN JUAN DE LURIGANCHO,JAIME ZUBIETA,C.S. BAYOVAR,2009,1,1,,,,,,,0.0
LIMA ESTE,SAN JUAN DE LURIGANCHO,JAIME ZUBIETA,C.S. C SANTA MARIA,2009,4,1,,,,3,,,75.0
LIMA ESTE,SAN JUAN DE LURIGANCHO,JAIME ZUBIETA,C.S. JAIME ZUBIETA,2009,4,1,,1,,1,1,,25.0
LIMA ESTE,SAN JUAN DE LURIGANCHO,JAIME ZUBIETA,P.S. PROYEC. ESPECIALES,2009,2,1,,,,1,,,50.0
LIMA ESTE,SAN JUAN DE LURIGANCHO,JAIME ZUBIETA,P.S. SAGRADA FAMILIA,2009,9,6,,1,,2,,,22.2
LIMA ESTE,SAN JUAN DE LURIGANCHO,JOSE CARLOS MARIATEGUI,C.S. CRUZ DE MOTUPE,2009,3,3,,,,,,,0.0
LIMA ESTE,SAN JUAN DE LURIGANCHO,JOSE CARLOS MARIATEGUI,C.S. ENRIQUE MONTENEGRO,2009,1,1,,,,,,,0.0
LIMA ESTE,SAN JUAN DE LURIGANCHO,JOSE CARLOS MARIATEGUI,C.S. J.C. MARIATEGUI,2009,1,,1,,,,,,0.0
LIMA ESTE,SAN JUAN DE LURIGANCHO,JOSE CARLOS MARIATEGUI,P.S. 10 DE OCTUBRE,2009,2,1,1,,,,,,0.0
LIMA ESTE,SAN JUAN DE LURIGANCHO,JOSE CARLOS MARIATEGUI,P.S. J.C. MARIATEGUI V ETAPA,2009,1,1,,,,,,,0.0
LIMA ESTE,SAN JUAN DE LURIGANCHO,JOSE CARLOS MARIATEGUI,P.S. JUAN PABLO II - SU SANTIDAD,2009,6,1,,3,,2,,,33.3
LIMA ESTE,SAN JUAN DE LURIGANCHO,PIEDRA LIZA,C.S. CAMPOY,2009,3,3,,,,,,,0.0
LIMA ESTE,SAN JUAN DE LURIGANCHO,PIEDRA LIZA,C.S. CHACARILLA DE OTERO (C.S. SAN JUAN),2009,1,1,,,,,,,0.0
LIMA ESTE,SAN JUAN DE LURIGANCHO,PIEDRA LIZA,C.S. MANGOMARCA,2009,1,1,,,,,,,0.0
LIMA ESTE,SAN JUAN DE LURIGANCHO,PIEDRA LIZA,C.S. PIEDRA LIZA,2009,5,3,,,,2,,,40.0
LIMA ESTE,SAN JUAN DE LURIGANCHO,PIEDRA LIZA,C.S. ZARATE,2009,2,1,,,,1,,,50.0
LIMA ESTE,SAN JUAN DE LURIGANCHO,PIEDRA LIZA,P.S. AZCARRUNZ ALTO,2009,2,2,,,,,,,0.0
LIMA ESTE,SAN JUAN DE LURIGANCHO,PIEDRA LIZA,P.S. CAJA DE AGUA,2009,3,2,,,1,,,,0.0
LIMA ESTE,SAN JUAN DE LURIGANCHO,PIEDRA LIZA,P.S. CAMPOY ALTO,2009,3,3,,,,,,,0.0
LIMA ESTE,SAN JUAN DE LURIGANCHO,SAN FERNANDO,C.S. LA HUAYRONA,2009,4,3,,,,1,,,25.0
LIMA ESTE,SAN JUAN DE LURIGANCHO,SAN FERNANDO,C.S. LA LIBERTAD,2009,4,1,,,1,2,,,50.0
LIMA ESTE,SAN JUAN DE LURIGANCHO,SAN FERNANDO,C.S. SAN BENITO,2009,1,1,,,,,,,0.0
LIMA ESTE,SAN JUAN DE LURIGANCHO,SAN FERNANDO,C.S. SAN FERNANDO,2009,3,2,,,,1,,3,33.3
LIMA ESTE,SAN JUAN DE LURIGANCHO,SAN FERNANDO,C.S. SAN HILARION,2009,7,6,,,,1,,,14.3
LIMA ESTE,SAN JUAN DE LURIGANCHO,SAN FERNANDO,P.S. 15 DE ENERO,2009,1,1,,,,,,,0.0
LIMA ESTE,SAN JUAN DE LURIGANCHO,SAN FERNANDO,P.S. SANTA ROSA,2009,5,2,,,1,1,1,,20.0
LIMA ESTE,SAN JUAN DE LURIGANCHO,SAN FERNANDO,P.S. STA. FE DE TOTORITA,2009,1,,,1,,,,,0.0
LIMA SUR,BARRANCO - CHORRILLOS - SURCO,SURCO,C.S. SANTIAGO DE SURCO,2009,4,3,,,1,,,,0.0
LIMA SUR,BARRANCO - CHORRILLOS - SURCO,SURCO,P.S. LAS DUNAS,2009,1,,,1,,,,,0.0
LIMA SUR,BARRANCO - CHORRILLOS - SURCO,SURCO,P.S. LAS FLORES,2009,1,1,,,,,,,0.0
LIMA SUR,BARRANCO - CHORRILLOS - SURCO,SURCO,P.S. SAN CARLOS,2009,1,,,,1,,,,0.0
LIMA SUR,BARRANCO - CHORRILLOS - SURCO,SURCO,P.S. SAN ROQUE,2009,2,,,,1,1,,,50.0
LIMA SUR,BARRANCO - CHORRILLOS - SURCO,URBANA,C.S. GAUDENCIO BERNASCONI,2009,1,1,,,,,,,0.0
LIMA SUR,BARRANCO - CHORRILLOS - SURCO,URBANA,C.S. GUSTAVO LANATTA LUJANCHORRILLOS I,2009,5,3,,,1,1,,,20.0
LIMA SUR,BARRANCO - CHORRILLOS - SURCO,URBANA,P.S. ARMATAMBO,2009,1,,,,,1,,,100.0
LIMA SUR,BARRANCO - CHORRILLOS - SURCO,VILLA,C.S. BUENOS AIRES DE VILLA,2009,5,,,1,1,3,,,60.0
LIMA SUR,BARRANCO - CHORRILLOS - SURCO,VILLA,C.S. DELICIAS DE VILLA,2009,3,2,,,1,,,,0.0
LIMA SUR,BARRANCO - CHORRILLOS - SURCO,VILLA,C.S. SAN GENARO DE VILLA,2009,1,,,,,,1,,0.0
LIMA SUR,BARRANCO - CHORRILLOS - SURCO,VILLA,P.S. DEFENSORES DE LIMA,2009,5,4,,,,1,,,20.0
LIMA SUR,BARRANCO - CHORRILLOS - SURCO,VILLA,P.S. MATEO PUMACAHUA,2009,4,2,,,,2,,,50.0
LIMA SUR,BARRANCO - CHORRILLOS - SURCO,VILLA,P.S. NUEVA CALEDONIA,2009,1,1,,,,,,,0.0
LIMA SUR,BARRANCO - CHORRILLOS - SURCO,VILLA,P.S. SAN JUAN DE LA LIBERTAD,2009,2,2,,,,,,,0.0
LIMA SUR,BARRANCO - CHORRILLOS - SURCO,VILLA,P.S. SANTA TERESA DE CHORRILLOS,2009,3,3,,,,,,,0.0
LIMA SUR,BARRANCO - CHORRILLOS - SURCO,VILLA,P.S. VISTA ALEGRE DE VILLA,2009,2,2,,,,,,,0.0
LIMA SUR,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,HOSP. DE APOYO MARIA AUXILIADORA,2009,1,,,1,,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,DANIEL ALCIDES CARRION - TABLADA DE LURI,C.M.I. DANIEL A. CARRION,2009,4,,,,1,1,2,,25.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,DANIEL ALCIDES CARRION - TABLADA DE LURI,C.S. TABLADA DE LURIN,2009,3,2,1,,,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,DANIEL ALCIDES CARRION - TABLADA DE LURI,P.S. DAVID GUERRERO DUARTE,2009,2,1,,1,,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,DANIEL ALCIDES CARRION - TABLADA DE LURI,P.S. MICAELA BASTIDAS,2009,4,2,,,,1,1,,25.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,DANIEL ALCIDES CARRION - TABLADA DE LURI,P.S. SANTA ROSA DE LAS CONCHITAS,2009,1,,,,,,1,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,JOSE GALVEZ - NUEVA ESPERANZA,C.M.I. JOSE GALVEZ,2009,11,7,,1,,3,,,27.3
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,JOSE GALVEZ - NUEVA ESPERANZA,C.S. NUEVA ESPERANZA,2009,2,1,,,,1,,,50.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,JOSE GALVEZ - NUEVA ESPERANZA,P.S. CESAR VALLEJO,2009,1,1,,,,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,JOSE GALVEZ - NUEVA ESPERANZA,P.S. MODULO I,2009,1,,,,1,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,JOSE GALVEZ - NUEVA ESPERANZA,P.S. NUEVO. PROGRESO,2009,1,,,,1,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,JOSE GALVEZ - NUEVA ESPERANZA,P.S. VIRGEN DE LOURDES,2009,4,3,,,1,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,LEONOR SAAVEDRA - VILLA SAN LUIS,C.S. LEONOR SAAVEDRA,2009,5,2,,1,1,1,,,20.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,LEONOR SAAVEDRA - VILLA SAN LUIS,C.S. VILLA SAN LUIS,2009,7,2,,2,1,2,,,28.6
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,LEONOR SAAVEDRA - VILLA SAN LUIS,P.S. 12 DE NOVIEMBRE,2009,2,2,,,,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,LEONOR SAAVEDRA - VILLA SAN LUIS,P.S. EL BRILLANTE,2009,1,,,1,,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,LEONOR SAAVEDRA - VILLA SAN LUIS,P.S. JESUS PODEROSO,2009,2,2,,,,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,MANUEL BARRETO,C.M.I. MANUEL BARRETO,2009,3,1,,1,,1,,,33.3
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,MANUEL BARRETO,P.S. SAN FRANCISCO DE LA CRUZ,2009,1,1,,,,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,MANUEL BARRETO,P.S. VIRGEN DEL BUEN PASO,2009,4,2,,,,2,,,50.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,OLLANTAY,C.S. OLLANTAY,2009,1,,,,1,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,OLLANTAY,P.S. JOSE MARIA ARGUEDAS,2009,3,2,,1,,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,OLLANTAY,P.S. LA RINCONADA,2009,2,1,1,,,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,OLLANTAY,P.S. LEONCIO PRADO,2009,1,,1,,,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,TREBOL AZUL - SAN JUAN,C.S. SAN JUAN DE MIRAFLORES,2009,2,1,,,,1,,,50.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,TREBOL AZUL - SAN JUAN,C.S. TREBOL AZUL,2009,4,3,,1,,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,TREBOL AZUL - SAN JUAN,P.S. HEROES DEL PACIFICO,2009,1,1,,,,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,TREBOL AZUL - SAN JUAN,P.S. PARAISO,2009,3,2,1,,,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,TREBOL AZUL - SAN JUAN,P.S. RICARDO PALMA,2009,2,2,,,,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,TREBOL AZUL - SAN JUAN,P.S. SANTA URSULA,2009,1,1,,,,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,TREBOL AZUL - SAN JUAN,P.S. VALLE SHARON,2009,2,2,,,,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,TREBOL AZUL - SAN JUAN,P.S. VILLA SOLIDARIDAD,2009,10,6,1,,1,2,,,20.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,VILLA MARIA - JOSE CARLOS MARIATEGUI,C.S. JOSE CARLOS MARIATEGUI,2009,4,1,2,1,,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,VILLA MARIA - JOSE CARLOS MARIATEGUI,H.M.I  VILLA MARIA DEL TRIUNFO,2009,3,1,,,,2,,,66.7
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,VILLA MARIA - JOSE CARLOS MARIATEGUI,P.S. BUENOS AIRES,2009,1,,1,,,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,VILLA MARIA - JOSE CARLOS MARIATEGUI,P.S. SANTA ROSA DE BELEN,2009,1,1,,,,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,VILLA MARIA - JOSE CARLOS MARIATEGUI,P.S. VALLE ALTO,2009,8,7,,,1,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,VILLA MARIA - JOSE CARLOS MARIATEGUI,P.S. VALLE BAJO,2009,3,2,,,1,,,,0.0
LIMA SUR,SAN JUAN DE MIRAFLORES - VILLA MARIA DEL,VILLA MARIA - JOSE CARLOS MARIATEGUI,P.S. VILLA LIMATAMBO,2009,2,2,,,,,,,0.0
LIMA SUR,VILLA EL SALVADOR - LURIN - PACHACAMAC,CESAR LOPEZ SILVA,C.M. I. CESAR LOPEZ SILVA,2009,1,,,,,1,,,100.0
LIMA SUR,VILLA EL SALVADOR - LURIN - PACHACAMAC,CESAR LOPEZ SILVA,P.S. BRISAS DE PACHACAMAC,2009,1,1,,,,,,,0.0
LIMA SUR,VILLA EL SALVADOR - LURIN - PACHACAMAC,CESAR LOPEZ SILVA,P.S. PACHACAMAC,2009,2,,,1,,1,,,50.0
LIMA SUR,VILLA EL SALVADOR - LURIN - PACHACAMAC,JUAN PABLO II,C.S. JUAN PABLO II,2009,8,4,,,,4,,,50.0
LIMA SUR,VILLA EL SALVADOR - LURIN - PACHACAMAC,JUAN PABLO II,P.S. CRISTO SALVADOR,2009,1,1,,,,,,,0.0
LIMA SUR,VILLA EL SALVADOR - LURIN - PACHACAMAC,JUAN PABLO II,P.S. FERNANDO LUYO SIERRA,2009,1,,,,,1,,,100.0
LIMA SUR,VILLA EL SALVADOR - LURIN - PACHACAMAC,JUAN PABLO II,P.S. OASIS DE VILLA,2009,1,,,,1,,,,0.0
LIMA SUR,VILLA EL SALVADOR - LURIN - PACHACAMAC,LURIN,C.S. JULIO C TELLO,2009,1,1,,,,,,,0.0
LIMA SUR,VILLA EL SALVADOR - LURIN - PACHACAMAC,LURIN,C.S. KM. 40,2009,4,2,,1,,1,,,25.0
LIMA SUR,VILLA EL SALVADOR - LURIN - PACHACAMAC,PORTADA DE MANCHAY,C.S. PORTADA DE MANCHAY,2009,2,1,,1,,,,,0.0
LIMA SUR,VILLA EL SALVADOR - LURIN - PACHACAMAC,SAN BARTOLO,C.S. PUCUSANA,2009,1,1,,,,,,,0.0
LIMA SUR,VILLA EL SALVADOR - LURIN - PACHACAMAC,SAN BARTOLO,C.S. SAN BARTOLO,2009,1,1,,,,,,,0.0
LIMA SUR,VILLA EL SALVADOR - LURIN - PACHACAMAC,SAN JOSE,C.M.I SAN JOSE,2009,10,8,1,,,1,,1,10.0
LIMA SUR,VILLA EL SALVADOR - LURIN - PACHACAMAC,SAN JOSE,P.S. SEÑOR DE LOS MILAGROS,2009,2,2,,,,,,,0.0
LIMA SUR,VILLA EL SALVADOR - LURIN - PACHACAMAC,SAN MARTIN DE PORRES,C.S. SAN MARTIN DE PORRAS,2009,4,3,,,,1,,,25.0
LIMA SUR,VILLA EL SALVADOR - LURIN - PACHACAMAC,SAN MARTIN DE PORRES,P.S. SAGRADA FAMILIA,2009,2,1,1,,,,,,0.0
LIMA SUR,VILLA EL SALVADOR - LURIN - PACHACAMAC,SAN MARTIN DE PORRES,P.S. VIRGEN DE LA ASUNCION,2009,1,1,,,,,,,0.0
LORETO,ALTO AMAZONAS,BALSAPUERTO,P.S. II PROGRESO,2009,1,,,,,,1,,0.0
MADRE DE DIOS,MADRE DE DIOS,JORGE CHAVEZ,C.S. JORGE CHAVEZ,2009,1,1,,,,,,,0.0
MADRE DE DIOS,MADRE DE DIOS,NUEVO MILENIO,C.S. NUEVO MILENIO,2009,1,1,,,,,,,0.0
MADRE DE DIOS,MADRE DE DIOS,NUEVO MILENIO,C.S. PUERTO MALDONADO,2009,2,1,,,,1,,,50.0
MADRE DE DIOS,MADRE DE DIOS,NUEVO MILENIO,P.S. AA.HH. SANTA ROSA,2009,1,1,,,,,,,0.0
MADRE DE DIOS,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,HOSP. SANTA ROSA,2009,1,1,,,,,,,0.0
MOQUEGUA,ILO,ILO,C.S. PAMPA INALAMBRICA,2009,1,,,,,1,,,100.0
PIURA I (PIURA),MORROPON CHULUCANAS,MORROPON,C.S. I MORROPON,2009,1,,1,,,,,,0.0
PIURA I (PIURA),PIURA CASTILLA,CASTILLA,C.S. I CASTILLA MATERNIDAD,2009,1,1,,,,,,,0.0
PIURA I (PIURA),PIURA CASTILLA,CASTILLA,C.S. II TACALA,2009,1,,,,,,1,,0.0
PIURA I (PIURA),PIURA CASTILLA,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,HOSP. DE APOYO I SANTA ROSA,2009,1,,,,,1,,,100.0
